obj_loss,norm_all,norm,gamma1,gamma2,e_break
174.477194,0.010857,1.983285,2.822933,2.758274,340.636966
153.551210,0.010893,2.045827,2.822988,2.731277,343.821855
162.153732,0.010884,2.006283,2.828554,2.720961,336.097420
159.876795,0.010843,1.934156,2.966185,2.730904,346.462654
168.761512,0.010884,1.998718,2.839189,2.726542,335.762892
169.439330,0.010884,2.006099,2.838252,2.724002,335.487169
166.240950,0.010805,1.951621,2.947459,2.706146,341.994762
163.204594,0.010865,1.961061,2.949869,2.753338,344.939621
162.153732,0.010884,2.006283,2.828554,2.720961,336.097420
156.158821,0.010899,2.005011,2.858828,2.672638,342.952039
159.876795,0.010843,1.934156,2.966185,2.730904,346.462654
156.307876,0.010858,2.018960,2.859501,2.694040,335.079114
152.446529,0.010856,1.969948,2.806716,2.755318,344.012102
157.295316,0.010863,2.070079,2.916273,2.740364,340.390914
162.153732,0.010884,2.006283,2.828554,2.720961,336.097420
174.477194,0.010857,1.983285,2.822933,2.758274,340.636966
165.215311,0.010895,1.942337,2.801789,2.754756,348.703116
163.134408,0.010832,1.924128,2.982477,2.712787,332.868102
163.134408,0.010832,1.924128,2.982477,2.712787,332.868102
173.833174,0.010888,2.038895,2.961103,2.625465,332.571489
163.134408,0.010832,1.924128,2.982477,2.712787,332.868102
163.204594,0.010865,1.961061,2.949869,2.753338,344.939621
160.685298,0.010888,2.040629,2.810960,2.668581,339.359035
147.335546,0.010836,2.009697,2.833149,2.784049,337.203093
169.903119,0.010893,2.033404,2.827821,2.732100,337.152552
165.434031,0.010895,1.991344,2.849876,2.792915,341.099262
163.393916,0.010890,1.971179,2.754740,2.752293,335.520001
160.666111,0.010863,2.037623,2.888454,2.745139,333.807368
161.694667,0.010886,2.049138,2.904225,2.710298,343.428792
166.790552,0.010860,1.937970,2.916416,2.693514,344.116197
156.158821,0.010899,2.005011,2.858828,2.672638,342.952039
164.091412,0.010883,2.007695,2.784019,2.781902,335.392131
155.927928,0.010884,2.006283,2.828554,2.720961,336.097420
169.439330,0.010884,2.006099,2.838252,2.724002,335.487169
169.954427,0.010845,2.031777,2.778586,2.788191,334.437555
163.204594,0.010865,1.961061,2.949869,2.753338,344.939621
162.153732,0.010884,2.006283,2.828554,2.720961,336.097420
164.091412,0.010883,2.007695,2.784019,2.781902,335.392131
168.761512,0.010884,1.998718,2.839189,2.726542,335.762892
169.439330,0.010884,2.006099,2.838252,2.724002,335.487169
165.434031,0.010895,1.991344,2.849876,2.792915,341.099262
155.927928,0.010884,2.006283,2.828554,2.720961,336.097420
174.477194,0.010857,1.983285,2.822933,2.758274,340.636966
169.903119,0.010893,2.033404,2.827821,2.732100,337.152552
156.158821,0.010899,2.005011,2.858828,2.672638,342.952039
174.477194,0.010857,1.983285,2.822933,2.758274,340.636966
163.393916,0.010890,1.971179,2.754740,2.752293,335.520001
168.024144,0.010833,1.959137,2.978660,2.721250,334.111575
171.413441,0.010851,1.981512,2.920213,2.690091,339.565902
163.393916,0.010890,1.971179,2.754740,2.752293,335.520001
173.833174,0.010888,2.038895,2.961103,2.625465,332.571489
147.335546,0.010836,2.009697,2.833149,2.784049,337.203093
160.457286,0.010831,1.907759,2.927024,2.818145,344.792312
169.164205,0.010863,1.964236,2.903388,2.728154,343.534493
157.295316,0.010863,2.070079,2.916273,2.740364,340.390914
159.805777,0.010894,2.029434,2.893554,2.690365,336.078816
155.927928,0.010884,2.006283,2.828554,2.720961,336.097420
165.117547,0.010864,1.953009,2.975742,2.695976,337.259872
156.307876,0.010858,2.018960,2.859501,2.694040,335.079114
156.158821,0.010899,2.005011,2.858828,2.672638,342.952039
148.871948,0.010899,2.053111,2.854257,2.704003,336.081486
168.761512,0.010884,1.998718,2.839189,2.726542,335.762892
171.652431,0.010827,1.960804,2.806138,2.791350,350.047642
164.091412,0.010883,2.007695,2.784019,2.781902,335.392131
159.876795,0.010843,1.934156,2.966185,2.730904,346.462654
168.761512,0.010884,1.998718,2.839189,2.726542,335.762892
163.393916,0.010890,1.971179,2.754740,2.752293,335.520001
148.871948,0.010899,2.053111,2.854257,2.704003,336.081486
152.041874,0.010880,2.042702,2.764841,2.678802,347.079135
156.226948,0.010861,1.947046,2.849768,2.737731,342.881240
166.790552,0.010860,1.937970,2.916416,2.693514,344.116197
168.024144,0.010833,1.959137,2.978660,2.721250,334.111575
160.666111,0.010863,2.037623,2.888454,2.745139,333.807368
157.295316,0.010863,2.070079,2.916273,2.740364,340.390914
159.876795,0.010843,1.934156,2.966185,2.730904,346.462654
160.685298,0.010888,2.040629,2.810960,2.668581,339.359035
147.335546,0.010836,2.009697,2.833149,2.784049,337.203093
160.457286,0.010831,1.907759,2.927024,2.818145,344.792312
166.240950,0.010805,1.951621,2.947459,2.706146,341.994762
156.226948,0.010861,1.947046,2.849768,2.737731,342.881240
168.614525,0.010884,2.006283,2.828554,2.720961,336.097420
173.221958,0.010881,1.991604,2.860353,2.750877,333.638355
156.226948,0.010861,1.947046,2.849768,2.737731,342.881240
147.335546,0.010836,2.009697,2.833149,2.784049,337.203093
168.761512,0.010884,1.998718,2.839189,2.726542,335.762892
166.240950,0.010805,1.951621,2.947459,2.706146,341.994762
173.221958,0.010881,1.991604,2.860353,2.750877,333.638355
173.833174,0.010888,2.038895,2.961103,2.625465,332.571489
152.446529,0.010856,1.969948,2.806716,2.755318,344.012102
169.954427,0.010845,2.031777,2.778586,2.788191,334.437555
169.954427,0.010845,2.031777,2.778586,2.788191,334.437555
173.833174,0.010888,2.038895,2.961103,2.625465,332.571489
160.666111,0.010863,2.037623,2.888454,2.745139,333.807368
171.413441,0.010851,1.981512,2.920213,2.690091,339.565902
163.204594,0.010865,1.961061,2.949869,2.753338,344.939621
165.434031,0.010895,1.991344,2.849876,2.792915,341.099262
155.927928,0.010884,2.006283,2.828554,2.720961,336.097420
148.871948,0.010899,2.053111,2.854257,2.704003,336.081486
160.666111,0.010863,2.037623,2.888454,2.745139,333.807368
161.694667,0.010886,2.049138,2.904225,2.710298,343.428792
172.800705,0.010885,1.967735,2.861956,2.758368,340.832433
156.307876,0.010858,2.018960,2.859501,2.694040,335.079114
161.694667,0.010886,2.049138,2.904225,2.710298,343.428792
177.059832,0.010887,1.959343,2.936360,2.756516,334.095585
159.805777,0.010894,2.029434,2.893554,2.690365,336.078816
172.800705,0.010885,1.967735,2.861956,2.758368,340.832433
173.221958,0.010881,1.991604,2.860353,2.750877,333.638355
173.221958,0.010881,1.991604,2.860353,2.750877,333.638355
163.393916,0.010890,1.971179,2.754740,2.752293,335.520001
171.413441,0.010851,1.981512,2.920213,2.690091,339.565902
168.024144,0.010833,1.959137,2.978660,2.721250,334.111575
168.761512,0.010884,1.998718,2.839189,2.726542,335.762892
172.800705,0.010885,1.967735,2.861956,2.758368,340.832433
151.174031,0.010833,2.028002,2.995879,2.741503,325.875529
157.295316,0.010863,2.070079,2.916273,2.740364,340.390914
168.761512,0.010884,1.998718,2.839189,2.726542,335.762892
152.446529,0.010856,1.969948,2.806716,2.755318,344.012102
169.903119,0.010893,2.033404,2.827821,2.732100,337.152552
173.221958,0.010881,1.991604,2.860353,2.750877,333.638355
152.446529,0.010856,1.969948,2.806716,2.755318,344.012102
172.800705,0.010885,1.967735,2.861956,2.758368,340.832433
159.876795,0.010843,1.934156,2.966185,2.730904,346.462654
162.153732,0.010884,2.006283,2.828554,2.720961,336.097420
171.652431,0.010827,1.960804,2.806138,2.791350,350.047642
160.457286,0.010831,1.907759,2.927024,2.818145,344.792312
152.041874,0.010880,2.042702,2.764841,2.678802,347.079135
168.024144,0.010833,1.959137,2.978660,2.721250,334.111575
168.614525,0.010884,2.006283,2.828554,2.720961,336.097420
163.134408,0.010832,1.924128,2.982477,2.712787,332.868102
156.226948,0.010861,1.947046,2.849768,2.737731,342.881240
156.307876,0.010858,2.018960,2.859501,2.694040,335.079114
160.457286,0.010831,1.907759,2.927024,2.818145,344.792312
163.204594,0.010865,1.961061,2.949869,2.753338,344.939621
163.393916,0.010890,1.971179,2.754740,2.752293,335.520001
149.570809,0.010834,1.984551,2.823608,2.728944,339.444910
159.876795,0.010843,1.934156,2.966185,2.730904,346.462654
159.876795,0.010843,1.934156,2.966185,2.730904,346.462654
168.761512,0.010884,1.998718,2.839189,2.726542,335.762892
177.059832,0.010887,1.959343,2.936360,2.756516,334.095585
152.446529,0.010856,1.969948,2.806716,2.755318,344.012102
156.226948,0.010861,1.947046,2.849768,2.737731,342.881240
159.805777,0.010894,2.029434,2.893554,2.690365,336.078816
169.903119,0.010893,2.033404,2.827821,2.732100,337.152552
157.295316,0.010863,2.070079,2.916273,2.740364,340.390914
147.335546,0.010836,2.009697,2.833149,2.784049,337.203093
159.805777,0.010894,2.029434,2.893554,2.690365,336.078816
165.117547,0.010864,1.953009,2.975742,2.695976,337.259872
160.666111,0.010863,2.037623,2.888454,2.745139,333.807368
