SPLwHe_obj_loss,SPLwHe_norm_all,SPLwHe_norm,SPLwHe_gamma1,SPLwHe_gamma2,SPLwHe_e_break,BPLwHe_obj_loss,BPLwHe_norm_all,BPLwHe_norm,BPLwHe_gamma1,BPLwHe_gamma2,BPLwHe_e_break
207.777894,0.011033,2.928142,2.818900,2.681843,310.703825,207.893440,0.011033,2.063076,2.813820,2.724621,337.466440
152.036484,0.010584,2.709359,2.821164,2.666395,344.077271,152.050493,0.010588,1.879949,2.985910,2.743066,342.922759
192.414214,0.011292,2.884652,2.663486,2.588304,338.954915,192.267063,0.011309,2.080642,2.753640,2.674649,316.850518
161.111121,0.010973,3.019839,2.834161,2.649102,300.648395,161.145837,0.010978,2.073058,2.860521,2.762477,337.933832
160.147426,0.011031,2.904598,2.825534,2.606732,318.256858,160.237317,0.011028,2.061908,2.721536,2.742157,327.972007
192.414214,0.011292,2.884652,2.663486,2.588304,338.954915,192.267063,0.011309,2.080642,2.753640,2.674649,316.850518
160.147426,0.011031,2.904598,2.825534,2.606732,318.256858,160.237317,0.011028,2.061908,2.721536,2.742157,327.972007
159.268921,0.010533,2.614603,2.821839,2.697750,353.366240,159.252688,0.010538,1.936438,2.976995,2.759868,342.761683
144.791148,0.010788,2.691109,2.806318,2.686097,340.993934,144.858805,0.010791,1.924575,2.950847,2.713081,337.272041
168.606583,0.011291,2.935511,2.647581,2.496001,336.921185,168.387193,0.011311,2.048318,2.781155,2.609348,330.925591
184.474652,0.010760,2.773490,2.821956,2.568427,343.484147,184.533455,0.010766,1.959484,2.979668,2.725046,332.196729
207.777894,0.011033,2.928142,2.818900,2.681843,310.703825,207.893440,0.011033,2.063076,2.813820,2.724621,337.466440
165.527007,0.011049,2.992024,2.879699,2.417416,345.342961,165.613740,0.011033,2.058103,2.813064,2.717244,337.820879
156.143589,0.010590,2.688802,2.813415,2.692769,343.590138,156.136829,0.010589,1.873228,2.996665,2.742116,345.451295
147.478927,0.010400,2.804077,2.825504,2.632105,344.859756,147.499480,0.010406,1.970364,2.988498,2.719930,338.456744
152.036484,0.010584,2.709359,2.821164,2.666395,344.077271,152.050493,0.010588,1.879949,2.985910,2.743066,342.922759
152.101194,0.010534,2.631524,2.844758,2.709522,345.234739,152.263704,0.010543,1.857117,2.977966,2.753266,342.663605
156.143589,0.010590,2.688802,2.813415,2.692769,343.590138,156.136829,0.010589,1.873228,2.996665,2.742116,345.451295
155.438971,0.010402,2.796549,2.829820,2.649332,343.746664,155.528336,0.010409,1.968928,2.994942,2.717584,338.703196
152.101194,0.010534,2.631524,2.844758,2.709522,345.234739,152.263704,0.010543,1.857117,2.977966,2.753266,342.663605
160.147426,0.011031,2.904598,2.825534,2.606732,318.256858,160.237317,0.011028,2.061908,2.721536,2.742157,327.972007
195.537871,0.011302,2.888379,2.665293,2.588169,334.965316,195.332321,0.011311,2.054147,2.778179,2.610287,329.547799
169.447182,0.010493,2.711034,2.820077,2.663348,346.441157,169.438600,0.010500,1.915140,2.978026,2.760549,341.180354
157.655526,0.010871,2.898267,2.718574,2.624260,341.838799,157.639199,0.010885,1.974045,2.863698,2.724350,336.526306
173.187170,0.011064,2.787111,2.798545,2.827567,321.213976,173.261231,0.011068,2.043520,2.832258,2.718432,341.643588
168.606583,0.011291,2.935511,2.647581,2.496001,336.921185,168.387193,0.011311,2.048318,2.781155,2.609348,330.925591
154.734429,0.010627,2.809462,2.821734,2.608915,343.086302,154.811027,0.010633,1.973131,2.980076,2.679856,337.622056
152.107826,0.011007,2.920321,2.741887,2.640641,325.348073,152.103530,0.011007,2.046262,2.795774,2.690901,338.044257
155.438971,0.010402,2.796549,2.829820,2.649332,343.746664,155.528336,0.010409,1.968928,2.994942,2.717584,338.703196
