theta_lat,eff_m2
0.000000,0.898043
1.000000,0.898043
2.000000,0.898043
3.000000,0.898043
4.000000,0.898043
5.000000,0.898043
6.000000,0.898043
7.000000,0.898043
8.000000,0.898043
9.000000,0.898043
10.000000,0.894268
11.000000,0.889807
12.000000,0.884928
13.000000,0.879630
14.000000,0.873916
15.000000,0.867788
16.000000,0.861852
17.000000,0.857324
18.000000,0.852529
19.000000,0.847469
20.000000,0.842146
21.000000,0.834008
22.000000,0.823996
23.000000,0.813541
24.000000,0.802648
25.000000,0.803743
26.000000,0.796274
27.000000,0.799659
28.000000,0.801026
29.000000,0.800738
30.000000,0.800440
31.000000,0.795597
32.000000,0.787524
33.000000,0.779223
34.000000,0.767722
35.000000,0.755498
36.000000,0.745644
37.000000,0.760035
38.000000,0.754939
39.000000,0.742764
40.000000,0.729974
41.000000,0.718510
42.000000,0.707553
43.000000,0.693183
44.000000,0.675548
45.000000,0.660584
46.000000,0.641975
47.000000,0.629686
48.000000,0.616033
49.000000,0.601812
50.000000,0.587005
51.000000,0.573329
52.000000,0.560343
53.000000,0.541095
54.000000,0.518820
55.000000,0.502879
56.000000,0.486863
57.000000,0.470673
58.000000,0.450906
59.000000,0.427692
60.000000,0.401474
61.000000,0.369309
62.000000,0.353499
63.000000,0.331788
64.000000,0.305127
65.000000,0.287826
66.000000,0.266474
67.000000,0.239469
68.000000,0.211844
69.000000,0.185842
70.000000,0.163118
