theta_lat,eff_m2
0.000000,0.751435
1.000000,0.751435
2.000000,0.751435
3.000000,0.751435
4.000000,0.751435
5.000000,0.751435
6.000000,0.751435
7.000000,0.751435
8.000000,0.751435
9.000000,0.751435
10.000000,0.746367
11.000000,0.740380
12.000000,0.733830
13.000000,0.726720
14.000000,0.719050
15.000000,0.710824
16.000000,0.702665
17.000000,0.695817
18.000000,0.688566
19.000000,0.680915
20.000000,0.672866
21.000000,0.666718
22.000000,0.661629
23.000000,0.656314
24.000000,0.650777
25.000000,0.649946
26.000000,0.642686
27.000000,0.642727
28.000000,0.641938
29.000000,0.640461
30.000000,0.638936
31.000000,0.634023
32.000000,0.626692
33.000000,0.619153
34.000000,0.612598
35.000000,0.606041
36.000000,0.597846
37.000000,0.600391
38.000000,0.588581
39.000000,0.578508
40.000000,0.568317
41.000000,0.559834
42.000000,0.552072
43.000000,0.540904
44.000000,0.526480
45.000000,0.514807
46.000000,0.501165
47.000000,0.491542
48.000000,0.479620
49.000000,0.467601
50.000000,0.455496
51.000000,0.441415
52.000000,0.425956
53.000000,0.412628
54.000000,0.401627
55.000000,0.385494
56.000000,0.368481
57.000000,0.349175
58.000000,0.330787
59.000000,0.313281
60.000000,0.299708
61.000000,0.280752
62.000000,0.260773
63.000000,0.240244
64.000000,0.219230
65.000000,0.200156
66.000000,0.180532
67.000000,0.162533
68.000000,0.140822
69.000000,0.119459
70.000000,0.099532
