theta_lat,eff_m2
0.000000,0.880142
1.000000,0.880142
2.000000,0.880142
3.000000,0.880142
4.000000,0.880142
5.000000,0.880142
6.000000,0.880142
7.000000,0.880142
8.000000,0.880142
9.000000,0.880142
10.000000,0.875222
11.000000,0.869409
12.000000,0.863050
13.000000,0.856146
14.000000,0.848699
15.000000,0.840713
16.000000,0.832976
17.000000,0.827068
18.000000,0.820813
19.000000,0.814213
20.000000,0.807269
21.000000,0.802165
22.000000,0.798100
23.000000,0.793856
24.000000,0.789433
25.000000,0.790543
26.000000,0.776912
27.000000,0.779098
28.000000,0.779583
29.000000,0.778669
30.000000,0.777725
31.000000,0.774542
32.000000,0.769762
33.000000,0.764846
34.000000,0.759748
35.000000,0.754510
36.000000,0.746837
37.000000,0.759656
38.000000,0.746571
39.000000,0.737101
40.000000,0.727622
41.000000,0.716587
42.000000,0.704699
43.000000,0.693124
44.000000,0.681843
45.000000,0.670983
46.000000,0.655345
47.000000,0.643417
48.000000,0.629186
49.000000,0.613114
50.000000,0.595108
51.000000,0.579159
52.000000,0.564504
53.000000,0.548278
54.000000,0.535417
55.000000,0.516623
56.000000,0.496975
57.000000,0.475103
58.000000,0.454234
59.000000,0.434331
60.000000,0.409867
61.000000,0.377485
62.000000,0.352913
63.000000,0.329137
64.000000,0.305996
65.000000,0.279535
66.000000,0.251591
67.000000,0.228689
68.000000,0.201349
69.000000,0.174909
70.000000,0.148280
