0.99 - 1.04,1.01,1161 ± 2 ± 40
1.04 - 1.09,1.06,1161 ± 2 ± 40
1.09 - 1.14,1.11,1167 ± 2 ± 40
1.14 - 1.19,1.16,1156 ± 2 ± 40
1.19 - 1.25,1.22,1144 ± 2 ± 40
1.25 - 1.31,1.28,1130 ± 2 ± 40
1.31 - 1.37,1.34,1104 ± 2 ± 40
1.37 - 1.43,1.40,1074 ± 2 ± 40
1.43 - 1.50,1.47,1038 ± 2 ± 40
1.50 - 1.57,1.54,999 ± 1 ± 40
1.57 - 1.64,1.61,961 ± 1 ± 40
1.64 - 1.72,1.68,919 ± 1 ± 40
1.72 - 1.80,1.76,879 ± 1 ± 30
1.80 - 1.89,1.85,832 ± 1 ± 30
1.89 - 1.98,1.93,783 ± 1 ± 30
1.98 - 2.07,2.02,738 ± 1 ± 30
2.07 - 2.17,2.12,692.9 ± 0.9 ± 30
2.17 - 2.27,2.22,647.2 ± 0.9 ± 20
2.27 - 2.38,2.32,605.1 ± 0.8 ± 20
2.38 - 2.49,2.43,561.5 ± 0.8 ± 20
2.49 - 2.61,2.55,521.3 ± 0.7 ± 20
2.61 - 2.73,2.67,481.1 ± 0.7 ± 20
2.73 - 2.86,2.79,447.4 ± 0.6 ± 20
2.86 - 2.99,2.92,413.5 ± 0.6 ± 20
2.99 - 3.13,3.06,379.1 ± 0.5 ± 10
3.13 - 3.28,3.21,347.8 ± 0.5 ± 10
3.28 - 3.44,3.36,319.3 ± 0.5 ± 10
3.44 - 3.60,3.52,292.9 ± 0.4 ± 10
3.60 - 3.77,3.68,267.5 ± 0.4 ± 10
3.77 - 3.95,3.86,243.1 ± 0.4 ± 9
3.95 - 4.13,4.04,221.1 ± 0.3 ± 8
4.13 - 4.33,4.23,200.9 ± 0.3 ± 8
4.33 - 4.53,4.43,183.2 ± 0.3 ± 7
4.53 - 4.97,4.74,157.7 ± 0.2 ± 6
4.97 - 5.45,5.20,128.1 ± 0.2 ± 5
5.45 - 5.97,5.70,103.9 ± 0.1 ± 4
5.97 - 6.55,6.25,83.9 ± 0.1 ± 3
6.55 - 7.18,6.86,67.35 ± 0.09 ± 3
7.18 - 7.87,7.52,54.06 ± 0.08 ± 2
7.87 - 8.63,8.24,43.05 ± 0.07 ± 2
8.63 - 9.46,9.04,34.22 ± 0.06 ± 1
9.46 - 10.38,9.91,27.16 ± 0.05 ± 1
10.38 - 11.38,10.86,21.53 ± 0.04 ± 0.8
11.38 - 12.48,11.91,16.95 ± 0.03 ± 0.6
12.48 - 13.68,13.06,13.32 ± 0.03 ± 0.5
13.68 - 15.00,14.32,10.48 ± 0.02 ± 0.4
15.00 - 16.45,15.70,8.26 ± 0.02 ± 0.3
16.45 - 18.03,17.22,6.46 ± 0.02 ± 0.2
18.03 - 19.77,18.88,5.00 ± 0.01 ± 0.2
19.77 - 21.68,20.70,3.90 ± 0.01 ± 0.2
21.68 - 23.77,22.70,3.047 ± 0.009 ± 0.1
23.77 - 26.07,24.89,2.365 ± 0.007 ± 0.09
26.07 - 28.58,27.29,1.827 ± 0.006 ± 0.07
28.58 - 31.34,29.92,1.419 ± 0.005 ± 0.05
31.34 - 34.36,32.81,1.107 ± 0.004 ± 0.04
34.36 - 37.68,35.97,(849 ± 4 ± 30) × 10 −3
37.68 - 41.31,39.44,(653 ± 3 ± 30) × 10 −3
41.31 - 45.30,43.25,(509 ± 3 ± 20) × 10 −3
45.30 - 49.67,47.42,(397 ± 2 ± 20) × 10 −3
49.67 - 54.46,52.00,(301 ± 2 ± 10) × 10 −3
54.46 - 59.72,57.01,(233 ± 2 ± 9) × 10 −3
59.72 - 65.48,62.51,(178 ± 1 ± 7) × 10 −3
65.48 - 71.79,68.54,(141 ± 1 ± 5) × 10 −3
71.79 - 78.72,75.16,(110.3 ± 0.9 ± 4) × 10 −3
78.72 - 86.32,82.41,(83.1 ± 0.8 ± 3) × 10 −3
86.32 - 94.64,90.36,(63.3 ± 0.6 ± 3) × 10 −3
94.64 - 108.67,101.34,(45.9 ± 0.4 ± 2) × 10 −3
108.67 - 124.77,116.36,(31.2 ± 0.3 ± 1) × 10 −3
124.77 - 143.25,133.60,(20.9 ± 0.3 ± 0.8) × 10 −3
143.25 - 164.47,153.39,(14.2 ± 0.2 ± 0.6) × 10 −3
164.47 - 188.84,176.12,(9.5 ± 0.2 ± 0.4) × 10 −3
188.84 - 216.82,202.21,(6.4 ± 0.1 ± 0.3) × 10 −3
216.82 - 248.94,232.16,(4.17 ± 0.08 ± 0.2) × 10 −3
248.94 - 285.82,266.56,(2.97 ± 0.07 ± 0.1) × 10 −3
285.82 - 328.16,306.05,(2.02 ± 0.05 ± 0.09) × 10 −3
328.16 - 394.54,359.39,(1.32 ± 0.03 ± 0.06) × 10 −3
394.54 - 520.11,451.75,(0.68 ± 0.02 ± 0.04) × 10 −3
520.11 - 654.77,582.46,(0.38 ± 0.02 ± 0.03) × 10 −3
654.77 - 863.16,749.72,(0.19 ± 0.01 ± 0.02) × 10 −3
863.16 - 1191.49, 1010.34,(0.081 ± 0.007 ± 0.01) × 10 −3
